filename,actionFlag,nullHyperlinkFlag,suspecLinkFlag,outLinkFlag,zeroLinkFlag,outCssFlag
http://yundaex.com,0,0,0,0,1,0
http://youth.cn,0,0.0152,0,0.0884,0,0
http://bbs.hupu.com,0,0,0.0055,0.011,0,0
http://mozilla.org,0,0,0,0.2126,0,0
http://ttrar.com,0,0.0009,0,0.0379,0,0
http://meituan.com,0,0,0,0.0158,0,0
http://findlaw.cn,0,0.0075,0.0045,0.006,0,0
http://126.com,0,0,0,0.6757,0,0
http://liepin.com,0,0.0128,0,0.0291,0,0
http://zhms.cn,0,0,0,0.3333,0,1
http://vmall.com,0,0.0563,0.0036,0.0853,0,1
http://so.ooopic.com,0,0.0187,0.0688,0.125,0,0
http://cz89.com,0,0,0.0042,0.2046,0,0
http://jiwu.com,0,0,0,0,1,0
http://gaokao.com,0,0.0004,0,0.0251,0,1
http://linkedin.com,0,0,0,0,0,0
http://lagou.com,1,0.0127,0,0.094,0,0
http://qyer.com,0,0.0759,0.0063,0.2278,0,0
http://kuai8.com,0,0.001,0.0048,0.0534,0,0
http://cnkang.com,0,0.3593,0,0.054,0,0
http://xdf.cn,0,0.0045,0,0.1091,0,0
http://xici.net,0,0.0138,0.0138,0.1,0,0
http://www.acfun.cn,0,0.0361,0.1271,0.0095,0,0
http://gmw.cn,0,0.0034,0,0.0809,0,0
http://zxxk.com,0,0.0033,0.0017,0.0294,0,0
http://kaijiang.500.com,0,0.0365,0.1642,0.0401,0,0
http://12371.cn,0,0.0275,0.1181,0.1016,0,1
http://www.tudou.com,1,0.0203,0,0.0983,0,0
http://xilu.com,0,0.0028,0,0.006,0,0
http://jxedt.com,0,0.0075,0.03,0.015,0,0
http://xueqiu.com,0,0,0,0,1,0
http://1ppt.com,0,0,0.0058,0.1433,0,0
http://yuedu.baidu.com,0,0.0039,0,0.0039,0,0
http://kdnet.net,0,0,0.0321,0.1526,0,0
http://52pojie.cn,1,0.0329,0.4042,0.0749,0,0
http://www.bankcomm.com,0,0,0,0,1,0
http://woshipm.com,0,0.0106,0,0.3564,0,0
http://china.findlaw.cn,0,0.0059,0.004,0.0435,0,0
http://qulishi.com,0,0,0,0,1,0
http://ithome.com,0,0,0,0,1,0
http://kongfz.com,0,0,0,0,1,0
http://jiwu.com,0,0,0,0,1,0
http://gaokao.com,0,0.0004,0,0.0251,0,1
http://linkedin.com,0,0.0154,0,0.0308,0,1
http://lagou.com,1,0.0127,0,0.094,0,0
http://qyer.com,0,0.0759,0.0063,0.2278,0,0
http://kuai8.com,0,0.001,0.0048,0.0534,0,0
http://cnkang.com,0,0.3593,0,0.054,0,0
http://xdf.cn,0,0.0045,0,0.1091,0,0
http://xici.net,0,0.0137,0.0137,0.099,0,0
http://www.acfun.cn,0,0.0361,0.1271,0.0095,0,0
http://gmw.cn,0,0.0034,0,0.0809,0,0
http://zxxk.com,0,0.0033,0.0017,0.0294,0,0
http://kaijiang.500.com,0,0.0365,0.1642,0.0401,0,0
http://12371.cn,0,0.0275,0.1185,0.1019,0,1
http://www.tudou.com,1,0.0203,0,0.0983,0,0
http://xilu.com,0,0.0028,0,0.006,0,0
http://jxedt.com,0,0.0075,0.03,0.015,0,0
http://xueqiu.com,0,0,0,0,1,0
http://1ppt.com,0,0,0.0058,0.1433,0,0
http://yuedu.baidu.com,0,0.0039,0,0.0039,0,0
http://pku.edu.cn,1,0.1321,0.0142,0.0755,0,0
http://kdnet.net,0,0,0.0323,0.1532,0,0
http://52pojie.cn,1,0.0301,0.4036,0.0753,0,0
http://www.bankcomm.com,0,0,0,0,1,0
http://woshipm.com,0,0.0106,0,0.3564,0,0
http://china.findlaw.cn,0,0.0059,0.004,0.0435,0,0
http://qulishi.com,0,0,0,0,1,0
http://ithome.com,0,0,0,0,1,0
http://kongfz.com,0,0,0,0,1,0
http://fx.cp2y.com,0,0.0183,0.0046,0.0274,0,0
http://kankan.com,0,0.0026,0,0.0154,0,0
http://stockpage.10jqka.com.cn,0,0.9222,0.0039,0,0,1
http://zaobao.com,0,0.0028,0.0028,0.0028,0,0
http://lenovo.com.cn,0,0.0054,0.0067,0.4973,0,0
http://baomihua.com,0,0,0.0567,0,0,0
http://woyaogexing.com,0,0.0327,0.0065,0.1242,0,0
http://cyol.com,0,0,0,0,1,0
http://1kkk.com,0,0,0,0.0102,0,0
http://okooo.com,0,0.021,0.021,0.021,0,1
http://samsung.com,0,0.1313,0.0303,0.202,0,0
http://pchome.net,0,0.0032,0.0016,0.0429,0,0
http://dongao.com,0,0.0112,0.0072,0.0337,0,0
http://koolearn.com,0,0.0043,0,0.1066,0,0
http://sz.gov.cn,0,0,0,0,1,0
http://elong.com,0,0,0,0.0443,0,1
http://www.cidianwang.com,0,0,0,0.1615,0,0
http://www.court.gov.cn,0,0,0,0,1,0
http://southcn.com,0,0.0033,0.0066,0.1549,0,0
http://oschina.net,0,0,0,0,0,0
http://znds.com,0,0.0232,0.0659,0.0525,0,1
http://xingzuo360.cn,0,0.0127,0,0.0445,0,0
http://jstv.com,0,0.0507,0.0054,0.0652,0,0
http://guokr.com,0,0.0513,0,0.0513,0,0
http://u17.com,0,0.0054,0.0044,0.0446,0,1
http://mail.126.com,0,0,0,0.6757,0,0
http://qichacha.com,0,1,0,0,0,0
http://hotels.ctrip.com,0,0.0188,0.0258,0.1056,0,0
http://hc360.com,0,0.0043,0.0008,0.033,0,0
http://lawtime.cn,0,0,0.0048,0.0887,0,0
http://cicpa.org.cn,0,0.0081,0.0081,0.0565,0,0
http://caixin.com,0,0.0043,0,0.0239,0,0
http://duote.com,0,0.0212,0,0.0296,0,1
http://kekenet.com,0,0.0125,0.0274,0.0615,0,0
http://ickd.cn,0,0.0177,0,0.0354,0,0
http://jzb.com,0,0,0,0.0864,0,0
http://flight.qunar.com,0,0.2561,0.014,0.1263,0,0
http://quanjing.com,0,0,0.1171,0.045,0,0
http://aipai.com,0,0.0048,0.128,0.0106,0,1
http://wanmei.com,0,0,0,0.2,0,0
http://jb51.net,0,0,0.0034,0.0425,0,0
